date,Accurate Sentiments,close
2022-01-17,0.0747525904859815,42201.62
2022-01-18,-0.0034229299601386,42352.12
2022-01-19,0.200797285636266,41660.01
2022-01-20,0.0736831480806524,40680.91
2022-01-21,-0.3324690187970797,36445.31
2022-01-22,-0.4309689700603485,35071.42
2022-01-23,-0.162349134683609,36244.55
2022-01-24,-0.184258426229159,36660.35
2022-01-25,0.1482377052307129,36958.32
2022-01-26,0.2747449062087319,36809.34
2022-01-27,-0.0562577948850743,37160.1
2022-01-28,0.0090677976608276,37716.56
2022-01-29,-0.4954168349504471,38166.84
2022-01-30,0.5479778895775477,37881.76
2022-01-31,-0.0339489314291212,38466.9
2022-02-01,0.0878654977549677,38694.59
2022-02-02,-0.1608839869499206,36896.36
2022-02-03,-0.1420807157244001,37311.61
2022-02-04,0.3027527682921466,41574.25
2022-02-05,0.0,41382.59
2022-02-06,0.5768738729613168,42380.87
2022-02-07,0.1338304281234741,43839.99
2022-02-08,0.4381841296950976,44042.99
2022-02-09,0.081586392029472,44372.72
2022-02-10,0.0121663442024817,43495.44
2022-02-11,-0.0101369818051656,42373.73
2022-02-12,-0.0904135920784689,42217.87
2022-02-13,0.4679717838764191,42053.66
2022-02-14,0.1894169747829437,42535.94
2022-02-15,0.1051124802657536,44544.86
2022-02-16,-0.0688021595661456,43873.56
2022-02-17,0.0008752605189448,40515.7
2022-02-18,-0.1178589165210723,39974.44
2022-02-19,0.0,40079.17
2022-02-20,0.4355502128601074,38386.89
2022-02-21,0.198076444864273,37008.16
2022-02-22,0.0939800402392511,38230.33
2022-02-23,0.2785740594069163,37250.01
2022-02-24,-0.2358882850216281,38327.21
2022-02-25,0.2970301975374636,39219.17
2022-02-26,0.1998922705650329,39116.72
2022-02-27,0.3007848958174388,37699.07
2022-02-28,0.3541541214912168,43160.0
2022-03-01,0.4617146416143937,44421.2
2022-03-02,0.0195849646221507,43892.98
2022-03-03,0.0488619953393936,42454.0
2022-03-04,-0.0368883117385532,39148.66
2022-03-05,-0.1647378106911977,39397.96
2022-03-06,0.199848198890686,38420.81
2022-03-07,-0.1726819305192856,37988.0
2022-03-08,0.2631694213910536,38730.63
2022-03-09,0.2407607463273135,41941.71
2022-03-10,0.2778341543106806,39422.0
2022-03-11,0.2368557027408055,38729.57
2022-03-12,0.2369106326784406,38807.36
2022-03-13,0.0,37777.34
2022-03-14,0.0767368285552315,39671.37
2022-03-15,0.4072609004520234,39280.33
2022-03-16,0.0814372546532574,41114.0
2022-03-17,0.031617705638592,40917.9
2022-03-18,0.0675096862456377,41757.51
2022-03-19,0.2497884333133697,42201.13
2022-03-20,0.4755556136369705,41262.11
2022-03-21,0.0960493087768554,41002.25
2022-03-22,0.4301749765872955,42364.13
2022-03-23,0.2101639195492393,42882.76
2022-03-24,0.2644248627699338,43991.46
2022-03-25,0.2732024138624018,44313.16
2022-03-26,0.0461129446824391,44511.27
2022-03-27,0.3998435020446777,46827.76
2022-03-28,0.277616884973314,47122.21
2022-03-29,0.0895271611213684,47434.8
2022-03-30,0.4682663194835186,47067.99
2022-03-31,0.3297352989514668,45510.34
2022-04-01,-0.0593214224685322,46283.49
2022-04-02,0.1191224306821823,45811.0
2022-04-03,0.3337965905666351,46407.35
2022-04-04,0.0276342560263241,46580.51
2022-04-05,0.215174314768418,45497.55
2022-04-06,0.0136977677995508,43170.47
2022-04-07,0.238933487850077,43444.19
2022-04-08,0.0056056690216064,42252.01
2022-04-09,0.2497453838586807,42753.97
2022-04-10,0.4825411240259806,42158.85
2022-04-11,-0.1353586419768955,39530.45
2022-04-12,-0.076854881313112,40074.94
2022-04-13,0.0091301111074594,41147.79
2022-04-14,0.2401067925536114,39942.38
